"Rank","name","pop2021","pop2020","GrowthRate","area","Density"
"206","Marshall Islands","59.6100","59.1900","1.0071","181","324.8122"
"207","Northern Mariana Islands","57.9170","57.5590","1.0062","464","123.3103"
"208","Greenland","56.8770","56.7700","1.0019","2166086","0.0262"
"209","American Samoa","55.1000","55.1910","0.9984","199","277.9497"
"210","Saint Kitts and Nevis","53.5440","53.1990","1.0065","261","202.3870"
"211","Faroe Islands","49.0490","48.8630","1.0038","1393","34.9447"
"212","Sint Maarten","43.4120","42.8760","1.0125","34","1246.7059"
"213","Monaco","39.5110","39.2420","1.0069","2","19482"
"216","Saint Martin","39.2340","38.6660","1.0147","53","717.0189"
"214","Turks and Caicos Islands","39.2310","38.7170","1.0133","948","40.2859"
"215","Liechtenstein","38.2500","38.1280","1.0032","160","237.6188"
"217","San Marino","34.0170","33.9310","1.0025","61","555.0820"
"218","Gibraltar","33.6980","33.6910","1.0002","6","5616.8333"
"219","British Virgin Islands","30.4210","30.2310","1.0063","151","198.8742"
"220","Palau","18.1690","18.0940","1.0041","459","39.2331"
"221","Cook Islands","17.5650","17.5640","1.0001","236","74.3559"
"222","Anguilla","15.1170","15.0030","1.0076","91","163.3956"
"223","Tuvalu","11.9310","11.7920","1.0118","26","447.9231"
"224","Wallis and Futuna","11.0940","11.2390","0.9871","142","80.5070"
"225","Nauru","10.8760","10.8240","1.0048","21","512.1905"
"226","Saint Barthelemy","9.9070","9.8770","1.0030","21","468.9048"
"227","Saint Pierre and Miquelon","5.7660","5.7940","0.9952","242","24.0579"
"228","Montserrat","4.9770","4.9920","0.9970","102","48.9118"
"229","Falkland Islands","3.5330","3.4800","1.0152","12173","0.2774"
"230","Niue","1.6190","1.6260","0.9957","260","6.2115"
"231","Tokelau","1.3730","1.3570","1.0118","12","111.6667"
"232","Vatican City","0.8000","0.8010","0.9988","1","799"
